text,label_meaning,prediction
老薛的果园主要以富士、秦冠为主，2002年苹果收入1万多元，老薛说：“那些落级果没办法处理，大都论袋论堆卖，一袋才几毛钱，最后好多都烂在地里。,1,1
等等，这些，如果就现象谈现象，想来是没有多大说服力的，只有把它们放到毛泽东和他从事的事业的关系中，才可能有比较准确的回答。,2,2
马克思主义者是最尊重客观实际的辩证唯物主义者，只有林彪、“四人帮”之类的假马克思主义的骗子，才专靠吹牛撒谎过日子。,2,2
只有这样，战士才会真正团结在干部周围，形成巨大的凝聚力和战斗力。,2,2
做人知不足，才会不断完善自我、修正自我，使自己逐渐成为一个高尚、美好的人，一个脱离了低级趣味、少犯错误的人，一个有益于他人、有益于社会的人。,2,2
在领导的再三催促下，1979年才养了四头母猪，80只老鸭，年终分配时减免了农业税，人均纯收入只有51元，欠国家贷款13，000元。,2,2
扎兹认为，只有安理会一致支持对南非进行全面的、强制性的制裁的决议，才可以使和平解决纳米比亚问题取得结果。,2,2
首先看看人工培育药材的可怜景况：园参的主要产地抚松、辑安两县1930年园参产量曾达到六十八万斤，但是1955年全省产量才只有十五万斤左右。,1,1
他用了几年的时间才制成这座大型天使铜像。,2,2
去年12月，他在中医院内科住院治疗高血压，直到血压指标正常才出院回家。,2,2
工人孙凤凯家住东塔，离工厂有二十多里，取消月票后每天早晨四点钟起床，四点半开始步行，六点半才到厂，每天要在路上来回四个多小时，弄得精疲力尽，影响了生产和业余学习。,2,2
群众的检举揭发在报上一登，他才坐立不安，惶惶不可终日。,2,2
因此，要坚持经常参加劳动，必须不断解决新出现的问题，不断提高自觉性，不断改进工作方法，才不会形成“虎头蛇尾”的现象。,2,2
水退后我才回家转，满目凄凉我心发酸。,2,2
工人们说：我们一台水泵开一小时，就能抵四十个农民兄弟干一天，所以这批水泵生产任务一定要比第一批完成得更快才好。,2,2
70年代，我国的羊绒才从原料出口走向深加工轨道。,2,2
正是夏老的渊博学识，独创的书法艺术风格，才使其屹立在书法艺术大师之列。,2,2
这样他才去掉了装腔作势，假惺惺的姿态，开始走向文学的真实与生动。,2,2
这样，他才会从“吃下去痛快，吐出来难受”中吸取教训，逐渐养成遵纪守法的习惯。,2,2
在传统文化知识和硬笔书写比赛中，工整的字迹展示出选手们对中文的坚持和较高的书写才华。,0,0
有了这样的组合性舞蹈语汇，才使洪常青的形象在我们心头留下不可磨灭的印象。,2,2
我们问他怎么这么晚才出来，他有些不好意思地告诉我们，因为上课多嘴被老师罚站，放学后老师又逼着他与另一被罚站的同学互相抽耳光。,2,2
狄德罗在批评贝克莱的时候说：“那些只承认自己的存在和我们体内彼此更替着的感觉的存在，而不承认其他任何东西的哲学家，叫作唯心主义者，这种怪诞的体系，在我看来，只有瞎子才会创造出来！,2,2
国家富强，我们的日子才好过。,2,2
只是对社会主义的热爱，才使我今天坐在被告席上，那怕再审判我十次，只要还有精力，我还要保卫我所珍惜的共产主义理想。,2,2
在这种情况下，一方面政府有关部门要为残疾人创造就业条件；另一方面，残疾人也应努力提高自身适应正常社会生活的能力，尽可能多掌握一些技能，这样，就业的机会才会相对增加。,2,2
生平结识的朋友不计其数，而感到“常惜深谈易歇”的才十几位，不能不说是极少数；剑三却是极少数中的一位，所以我在这里要特地叙明，在他谢世已经二十五年的今天，我仍然忘不了与他历次的深谈。,1,1
孙荣霞说，有一次早上7时出发，晚上7时才到家，路费好几百元，一年回去几次后，就没有多少积蓄了。,2,2
有人说，这事儿很简单，就是大家有钱了，买东西就要奔着高价位才上档次。,2,2
社干部没办法才又分给社员去喂。,2,2
而笔者在进行操作时，也发现触摸屏存在反应不灵敏、网络不稳定等问题，有时点击一个选项，可能要等待数秒才会跳转。,2,2
只有这样看，雷锋精神才不会时过境迁。,2,2
黄渡区方泰乡乡干部陈学林说：“土地改革才二、三年，杨家联合村已有三户把田卖掉了。,1,1
这样消费者才会买得放心、住得踏实。,2,2
这两种思想的斗争持续了将近一年的时间，直到学习了党的八届八中全会文件之后，在提高了认识的基础上，通过具体的、细致的研究工作，批判地学习已有的经验，才作出了处理断层的新方案。,2,2
根据今年的收成和市场粮价的走势，收购量和收购总值并没有大的增加，国家投入收购的资金总量亦不算少，截至9月底，粮油库存总值才占收购贷款的一半，但收购所需资金却全面紧张。,1,1
张北英表示，打造品牌需以“诚信为本、服务至上”，兼顾企业文化，才可在市场中有所突破。,2,2
我今年2月份才刑满释放，出来后在QQ上认识了现在的老板，说带我挣钱，开始进入婚恋交友诈骗这一行。,1,2
经验证明，只有打通群众思想，才会造成抢种浪潮。,2,2
他认为今后应该在三个层面上做好深入细致的工作，才可能把防震减灾工作落到实处：充分发挥政府职能。,2,2
另外，研究生入学后，也没有固定的指导老师，只有在写学位论文的时候，他（她）才会按照论文的选题去自主选择指导老师，可以是本研究所的，也可以跨校选择，慕名而投。,2,2
心急如焚的彭廷榜想到集体1.8万元的物资可能受到损失，便坚持到处理妥当才回家。,2,2
老王说，蒙古族牧民吃炒菜，这也是近两年才出现的新鲜事。,1,2
经他们公议后，这才以香烛供养的旧日仪式，第一次使此遗像与“外人”相见。,2,2
据说，黑颈鹤每年春天离开大山包的时候，总要围着董应兰的家鸣叫好久，才依依不舍地离去，第二年冬天回来的时候，也是先要寻觅她的踪影。,2,2
唯其如此，接受香港商人投资的深圳光明华侨畜牧场才大规模引进了它。,2,2
正是由于这个根本性的变化，才促进了医疗作风、医疗业务上一系列的变化。,2,2
一个批评家与一个作家，只有熟到了骨头里，才会有如此到位的透视和剖析。,2,2
该书中文第一册出版于1983年，直到1994年才出齐，坊间少有整套留存。,2,2
经过大浪淘沙后依然能坚守的有才华的网络作家只占群体的七千分之一。,0,0
她们不是当地人，老人说她们是船上人，生而没有故乡，春暖花开时才下船，在岸边找处浅滩梳妆，也浣洗积了一整季的冬衣。,2,2
试想，有多少学生是因为路费问题才不回家的？,2,2
她那时才十五周岁，是中国共产党的候补党员。,1,1
