text,label_meaning,label_predicted
他经常对学生讲，只有在中国共产党领导下，中国的现代化建设才会突飞猛进发展。,4.0,2
正是由于不断地出现动荡，不断地发生变革，人类的历史才不断地向前推进。,4.0,2
这个延边天池气象站，建在海拔二千六百米的山坡上，从八月飘雪，到转年五月才冰消雪融。,2.0,1
在全国设计革命的形势鼓舞下，我主动去催办，才发现有的部门所以不肯改设计，是因为他们只算眼前小账，怕改变计划之后，增加麻烦，增加支出。,4.0,2
把线划完，社员们才到地，何建章又马上扶着耠子耠起来了。,1.0,1
这充分说明，党中央为刘少奇同志平反，是极为郑重的，它完全是从事实出发，经过周密的调查研究，反复核对有关的人证物证，才做出结论的。,4.0,2
我才叫一声：“大姐——”，就再也说不出话来，我的眼泪不住地转，要涌出来。,1.0,1
温县南张羌乡，因为通过整社认真地解决了社员提出的许多问题，社员们说：“像这样的整社，一年要多整几次才好。,5.0,1
欢喜得我真不知道说什么才好。,5.0,1
等到看见我笑了一下，才又低下头去一面涂鞋油一面说：“还过得去。,2.0,1
这样，妇女才会和男子处于平等地位。,4.0,2
我现在才上大学一年级，课业压力也不大，时间还是比较充足的，这为我坚持锻炼提供了保证。,3.0,1
但过去这种香水的颜色比较深；洒在淡色衣服上，常常留下斑迹，要洗滌以后才会脱去。,4.0,2
世界经济的发展需要长期的和平与稳定，长期的和平与稳定才利于长期的发展。,5.0,2
可惜这个正直善良、有才华的好同志，竟在一九六八年八月三日不幸因病与世长辞。,0.0,0
在这种思路的指导下，中华书局调整了原有的编辑部门，成立了大众读物编辑室和文化读物编辑室，大胆起用了一批有朝气、有才华的年轻编辑。,0.0,0
后来听说农村有废棉，才二百多元一吨，还有的是。,3.0,1
汤沐海说：“到了德国，才发现自己要学的东西实在太多了，毕竟西方古典音乐有着几百年的历史积淀。”,2.0,2
爱尔兰统一党和工党经过谈判达成了联合组阁的协议，后又得到一名无党派议员的支持，这样才以微弱的多数组成了联合政府。,4.0,1
实践证明，一个地方只有风气正，人心齐，干部群众精神振奋，各项事业才会长足发展。,4.0,2
因此，“人造”恐龙，恐怕是下个世纪才可能出现的奇迹。,2.0,2
穿着一身鲜红举重服的才力出场了，前两次，他分别举起了一百八十公斤和二百公斤。,0.0,0
革命军人只有平时刻苦训练，才会有战时的决战决胜。,4.0,2
去年，他在一次执行巡逻任务中，为了排除越军埋入我境的地雷，英勇牺牲，当时才22岁。,3.0,1
不能怪周涛的口误，与几十年前才出现的“襄樊”这个新地名相比，“襄阳”这个地名实在是历史太悠久、名气太大、文化底蕴太深了。,2.0,1
李守正直到被俘前几分钟才向王仲廉报告：“形势很危险。,2.0,1
党的三中全会以来，特别是中央提出“四项指示”以来，北京各方面的工作确实有了很大进步，取得了不少成绩，但这是经历了艰苦斗争，付出了相当代价才取得的。,4.0,1
东单区一个商店，去年12月上、中两旬共销售一百五十三台打字机，这个月到现在才卖了三台。,3.0,1
麻城今年是战胜了两次严重干旱才取得丰收的。,4.0,1
吃过晚饭，好不容易才吵得爸爸穿上大衣，出了家门。,4.0,1
从早到晚，列车跑了一千多公里，时间过了二十几个小时，直到在午夜时望见了长沙市的灯光，她才住了手。,2.0,1
正是认识上的不断深化，才使得我们在实践中更加注重发挥市场作用，有力促进了经济持续较快发展。,4.0,2
联合声明说，两国政府深信，“战争不能解决问题”，只有在和平中，才会使南斯拉夫和印度两国人民有机会自我发展。,4.0,2
张玉玲的脚当即起了泡，后来感染化脓，不能走路，医治十多天才好。,2.0,1
一切的一切，就像昨天才发生一样。,1.0,1
由于道路拥堵，许多人弃车步行，路上到处是小心翼翼步行的人群，相当多的家庭都有深夜甚至凌晨才到家的风雪夜归人。,2.0,1
茶泡出来之后，先且不饮，而是交口称赞那逐渐展开来的一旗一枪，然后观察茶汤的变化，直至变成清亮的淡绿色，有时上面还漂几点若有若无的油花，这才举杯对饮。,2.0,1
只有以高格调的产品为号召，小小“TV”才会别有洞天，别具滋味。,4.0,2
明新那时才十岁，刚能摸到水车的把手，也上了阵。,3.0,1
1979年农民人均收入才231元。,3.0,1
都快九点了，怎么这会儿才回来？,2.0,1
等我喝完茶，休息了一会，才到屋外打电话叫车去了。,2.0,1
有时候，我想缓解一下气氛，故意开玩笑，说：民国十八年，你才多大点，怎么会记得那么清。,3.0,1
只有坦诚交流、相互尊重，眼下的有利氛围才会真正转化为伊核问题和平解决的新契机。,4.0,2
抗战胜利以后，他才下了山；以后，参加了土地改革的斗争，分了土地和房屋。,2.0,1
她仅仅是因为丈夫被日本人杀死，为了报夫仇，才参加了抗日战争时期的一些政治活动。,4.0,1
要是你换个时间来看，金灿灿一片的茶皇菇，那才壮观。,5.0,1
这也就是我们对我们劳动党、党中央的热爱，也才不辜负我们厂的名字：‘恩维尔·霍查’。,5.0,2
他苦思捉摸出一种发式后，总要先在店内试做，然后才向顾客推荐。,2.0,1
要等到中国的产业结构比较健全、中央银行监管十分有利才会实行。,2.0,2
有的同志说：农场周围的生产队，地势高，土质好，生产经验、肥料和技术条件都比我们好，一般的才亩产三百来斤，我们在这里还有什么搞头。,3.0,1
在日常工作中，有时有很多矛盾存在，究竟哪个是主要矛盾，往往是要费力才可以找得出来的。,4.0,2
瑞典军方对此一直不好意思向巴方通报，直到瑞典新闻媒介报道之后，才向巴驻瑞使馆说明这些马的命运。,2.0,1
官兵的血汗流在一起，军旗才不会褪色马泉河畔，盛传着一个将军与后勤助理员和一个大个子士兵的故事。,4.0,2
到那时，他们才不得不表示“认识到台湾海峡两边所有的中国人都认为只有一个中国，台湾是中国的一部分。,2.0,2
今年20岁的小董，去年初才到这个车间工作，工作经验还很不充分。,1.0,1
让他们对这个行业从犹豫到进入、从兼职到专职，产业才会打开向上发展的空间。,4.0,2
今年才全部投入生产的第二烧结车间的职工，迅速学习和掌握了苏联的新技术，开工生产不久，月产量就突破了原设计能力。,1.0,1
伊拉克战争才不过20来天，此前却渲染了近一年。,3.0,1
这个组的多数编导、摄像都是才出校门三五年的青年，在采访、拍摄新闻事件、各界精英、特别是普通百姓的生存状态的同时，也对我国的国情、民情有了更为深入的了解。,1.0,1
只是《瑰宝》这一部被奥斯卡吟唱了50余年的“生死恋”，日前才回归女主角的故土—中国。,2.0,1
安宪增接到通知，马上骑自行车找到罗有昌，为了不误点，他把自行车交给罗有昌，自己步行了两个多小时才回到段里。,2.0,1
一直到下午六时，批发站才在大家一再催促下，派何同志带着五份复写的字迹模糊的文件，匆匆来到了招待所。,2.0,1
政府只在确保释放被劫持乘客时才与劫机者对话，但决不答应劫机者提出的任何条件。,4.0,1
吴先生认为，当今的中国足坛缺乏顶尖的球星，只有培养出众多技艺非凡的球星，足球运动才会变得更有魅力。,4.0,2
在这套流程操作下，数据的价值才会被充分挖掘。,4.0,2
决不是象影片描写的那样，任务快完成了，县委书记才坐着车来指点一番。,2.0,1
据介绍，1991年设立的美国材料学会青年科学家大奖，每年只授予一位青年才俊。,0.0,0
直到一六八八年，资产阶级政党以政变的方式从荷兰迎来了一个带着荷兰海陆军进入英国的国王，这才使英国的资产阶级专政稳定下来。,4.0,2
就连写儿童歌曲《卖报歌》，也是经过多次观察一个报童卖报，甚至亲自帮他卖报后才写出来的。,2.0,1
这条公路全长才15华里，但它是这里的农民为了迎接社会主义的好日子而自动修起来的。,3.0,1
谢林惯于逢迎领导，揣摩领导心理，时而向领导送作品、送材料以卖弄才华，赢得有的领导同志好感，以致被某些领导同志大力举荐。,0.0,0
至此，两年来的八万八千元的经济纠纷才告结束。,2.0,2
后来，由于学生们的强烈反对，佛朗哥当局才不得不重新开放。,4.0,1
我当时入党才一年多。,3.0,1
欢迎人群中，年龄最大的有90多岁，是来自江苏徐州的徐老先生；最小的才3岁，跟着母亲，小手中拿着国旗；欢迎人群中还有老外，大家打着标语，舞龙舞狮，敲锣打鼓，热闹非凡。,3.0,1
联合国的一位外交官分析说，如果在利比亚建立禁飞区需经联合国安理会讨论，而这只会在利暴力升级时才可能发生。,4.0,2
我们西藏人民也只有在中国共产党和各族人民伟大领袖毛主席的英明领导下，坚决走社会主义道路，才会有光明幸福的前途。,4.0,2
徐广福才五岁的大女儿天真地挥动小手欢迎贵宾。,3.0,1
只有经过长期的这样的学习，才可以指望改变一部分哲学工作者的书生气和学生腔，逐步掌握理论联系实际的方法，写出从实践中来的哲学，写出为工农兵和革命干部所欢迎的哲学。,4.0,2
直到又一拍涛声响起，那颗悬着的心才复归于平静。,2.0,2
他博闻强记，文思敏捷，才华出众，又擅长演说。,0.0,0
后者有着传奇的才华与崇高的声望，在纳粹统治期间没有逃离德国，而是选择留下继续指挥演出，用音乐铭记历史。,0.0,0
在这种情况下，管成俊才勉强起来，采取了一些补救措施。,4.0,1
嘿，那金毛狮子长得才好看，满身绒毛黄鲜鲜。,5.0,1
村民们还向客人献上只有在盛大节日才吃的传统食品。,4.0,1
现在他家建起了新房，吃穿不愁，才上初中的小孩都骑上了自行车。,1.0,1
一次，杨兴蓉到那地生产队的一位病人家里送药，这位病人的病已经好转，到毛田坝收稻子去了，两天后才回来。,2.0,1
他们当中的不少人，是由于父母拉的关系才上了大学、参了军、招了工、提了干。,4.0,1
而在2011年加拿大大选中，具有中国大陆背景的才3人。,3.0,1
大家知道，南越伪军总共才五十多万人，这支缺乏兵源补充的傀儡军，能够经得起多少次类似的打击？,3.0,1
艺术创作需要起码的物质生存条件，人只有在解决了衣食住行的实际需求后才可能从事艺术和其他活动。,2.0,2
中非人不仅爱吃蚂蚁，而且非常喜欢吃毛毛虫和金龟子等，只有品尝过这些小生物的人，才会理解他们为什么这么爱吃。,4.0,2
仅此一项，每届就要投资近10万元，自然，这因为有陕西电视机厂和香港胜明实业有限公司这样的企业对文化建设的热忱相助，才使歌曲爱好者获得进修和比赛的机会。,4.0,2
我趁那位操东北口音的老职工有些空闲的时候，走过去与他搭讪：“老同志，你们这儿在哪个季节才刮这么大的风？,4.0,1
内塔尼亚胡强调，只有在巴自治政府履行打击恐怖活动的义务后，以色列才会进一步向巴方移交约旦河西岸土地。,4.0,2
我们志愿军在朝鲜，是由于得到了朝鲜人民的全力支援和无微不致的关怀，才取得了胜利。,4.0,2
三分种，七分管，你一家才五口人，老的老，小的小，这么大面积你抚育管理得了吗？,3.0,1
现在，北斗三号的原子钟已提升到每300万年才出现1秒误差的精度。,2.0,1
您长长的蘸水笔里流出的是您的血液，我捧着您的灵魂才健步如飞。,4.0,1
后经工厂行政、工会负责人员向大家作了检讨，工人参加检查的积极性才发挥出来。,4.0,1
经反复研究才发现上述工艺设计中的极不合理现象。,4.0,1
此时此刻，正是所有爱国的台湾儿女为祖国母亲贡献才华的可贵时机。,0.0,0
到了第五局，长谷川信彦才以二十一比十五的接近比分取胜，从而获得了这个项目的第一名。,2.0,1
参赛者最大年龄74岁，最小的才14岁。,3.0,1
我们经历了一百年的长期艰苦斗争，只是到了今天，才在共产党与伟大人民领袖毛泽东领导下，获得了基本的胜利，打倒了国内外的压迫者，成立了中华人民共和国。,4.0,1
后来，石老荣办了酒席，向石芳金道歉赔礼才了事。,2.0,1
这样上下齐抓，加重农民负担的“顽症”才可望根治。,4.0,2
可是，体育的核心精神——更高、更快、更强，本身就带着竞技性啊，正是因为有了公平竞争，体育才变得好看、好玩。,4.0,2
他要求党执行“以才培德”的干部政策，并诬蔑历次社会主义运动是“没有是非”。,0.0,0
锡剧音乐改革的序曲在刘少奇反革命修正主义文艺路线的统治下，锡剧舞台长期来被才子佳人、老爷太太统治着，锡剧的伴奏曲调一直是软绵绵、轻飘飘、酸溜溜的。,0.0,0
尤清说，他与林纯子是在参加对“十信”案调查的三名“监察委员”放弃提出弹劾案之后，才另提案弹劾的，并把现“行政院长”俞国华列入弹劾名单。,2.0,1
喊了好久，没人答应，伪军提心吊胆，进去搜索才发现民兵早已从地道转移了。,2.0,2
技术员汪家铮是去年才从唐山工学院毕业的一个青年学生，就在这一年的秋天被国家分配到鞍山来工作。,1.0,1
十二名孩子，最大的十五岁，最小的才七岁，要吃，要穿，要上学，要办各种手续；有病的要治病，甚至半夜送医院；不良习惯，要慢慢改。,3.0,1
在安哥拉，“中国村”是最近两年才出现的一个地名，住在罗安达市或者附近的居民无人不晓。,1.0,1
剑英同志学识渊博，文武兼备，才华横溢，但他大智若愚，虚怀若谷，不尚清谈。,0.0,0
只有经过反复的磨练，中国女排才会状态越来越稳定，队伍越来越成熟。,4.0,2
可他依然等在店里，待我取走照片，才关门离去。,2.0,1
他们说，起初他们也不知道，是在公安人员到骡马大店查询过往客人的情况时才发现的。,2.0,1
后来经过这个乡的干部努力，才在插秧阶段，发动农民使用了少数商品肥料。,4.0,1
要是你年轻时像你70岁以后那样勤奋，写得远不止这些，你是有才华的。,0.0,0
却因为患有先心病被父母遗弃在医院里，到“宝贝之家”时才刚刚7天，后来又被查出患有肝损害，需要长期服药治疗。,3.0,1
直到这位老教授送给他法国酒、外国电池灯，用汽车接他到饭店吃饭后，他才予以解决。,2.0,1
到1954年正式公布重点试行劳卫制，根据试行情况在1956年才在全国普遍推行。,2.0,1
谢翔鹤一时说不出话，好久才吞吞吐吐地说：“是我不对，我有罪”。,2.0,1
心存感激的3位旅客直到进站验票时，才发现车票已被人用“废票”和“短途票”调了包，而“热心”人早已没了踪影。,2.0,2
李新民带着两个队员爬上井架，在零下20多摄氏度的严寒中，徒手抡大锤，砸了半个小时才修好，可双手却粘掉了一层皮。,2.0,1
有付出，能帮助别人，才会感觉幸福。,4.0,2
零活做完他心里乐，这才去帮助民兵练爆破。,2.0,1
看人家晓菲，才四五岁，抱着本大厚书，一坐就是半天。,3.0,1
区长和议员则是兼职的，月薪只有600美元，他们平时都有各自的职业，只是在召开议会或决定社区大事时才到社区来。,4.0,1
她想，我和伟大祖国同年诞生同时成长，今年才二十一岁，在文化大革命中，又是红卫兵小将，一直是积极捍卫毛主席革命路线的。,3.0,1
只有那些害怕加强和平和不希望国际局势正常化的人，才会对这个消息感到惊慌和悲伤。,4.0,2
原来，黄芝州于7月18日晚在晁家作案后潜逃，后因慑于严厉打击刑事犯罪斗争的威力，才又返回投案自首。,4.0,1
后来，他长期侨居西班牙首都马德里，到今年六月二十日才回到阿根廷。,2.0,1
只有经济上不依靠别人，军事上政治上才会有力量。,4.0,2
他下车后到了银行打开挎包往外取款时，才发现这个挎包不是自己的。,2.0,2
只有千方百计增加农民收入，开拓农村市场，才会进一步拉动整个经济增长。,4.0,2
二月中旬，工程处主任才姗姗地来到石家庄，这时候，正像工程处主任所说的“大势已定”，再着手准备已经来不及了。,2.0,1
从一开始，正是赫鲁晓夫和肯尼迪的挑唆、支持和援助，才使得尼赫鲁敢于向中国发动侵略。,4.0,2
高雄一家总医院给病人输氧气，每小时索价新台币六十元，一天就要一千四百多元，而氧气的市价每桶才一百元。,3.0,1
一直到夜晚八点多钟，才到茶厂，及时供应了烧柴。,2.0,1
只有经过自己刻苦钻研出来的，才一辈子也忘不了。,4.0,1
待有十几二十条了，才一串儿提上岸。,2.0,1
在山丘新建的宿舍里，二百多户去年才从茅屋搬进新居的主人，也在杀鸡过年。,1.0,1
里约奥运会才到第七个比赛日，中国“三大球”的告别却提前进入倒计时。,3.0,1
迁移工作开始前，有的干部把这个工作看得轻而易举，但经过详细了解后，他们才发现农民存在着很多顾虑。,4.0,2
这个时候，艺术家才与他的作品合而为一，成为完整的生命体。,2.0,1
该县一年的财政收入才三千余万元。,3.0,1
只有共产党来了，才不愁吃不愁穿，好好地过我的晚年。,4.0,1
河南文物主管部门这才如梦初醒，采取行动。,2.0,1
在组织上一再催促下，李梦周才住进了医院。,4.0,1
一位历史学学生蛮有怨气地说，他用了三四个纸箱才好不容易装下一个月内收到的宣传品，然后统统扔进垃圾堆，对此他简直烦透了。,4.0,1
真正理解和感受瑞典在制定交通安全规则背后对生命的尊重和散发的人性关怀，活学活鉴才会更有价值。,4.0,2
观众们过于热情的压力，让主办方提前一小时就封锁了金秀贤将要亮相的馆区，公安部门甚至一度叫停了他的出场，直到临结束时，才亮相短短几分钟。,2.0,1
经过再三劝说，孟克达来才动身来到北京。,4.0,1
声明说，只有捍卫不干涉和自决权的原则，墨西哥的呼声才可能是拉丁美洲各国人民的真正呼声。,4.0,2
那年，春天来了，那些由她一手接到人间的子孙们，抬着她的棺，转遍了小沙沟的三街六巷，最后一次，让奶奶走过了每家每户的门口，这才出了村。,2.0,1
县支行领导直到申请执行，法院派人执行时，才发现法院的保全物资已被变卖一空。,2.0,2
他回头看钟上的指针时，才发觉这次出差从节约汽油的观点来看，比上次去十三陵要合算得多了。,2.0,2
我们不是自发论的崇拜者，以为青年只要“自己设计自己”就可以成为建国之才。我们更不是把青年看得一无是处的悲观主义者，我们坚信“青出于蓝而胜于蓝”。,0.0,0
直到下半夜三点钟，汽车才到韩家村。,2.0,1
正是在这种背景之下，苏修才不惜更加露骨地出卖德意志民主共和国的利益，加紧同西德军国主义的勾搭。,4.0,2
朱振华和彭志渊，今天下午都是经过两个半小时多的激战，才以3比2的接近比分分别赢了各自在复赛中的对手——上海的梅福基和戴永明。,2.0,1
个别同志还讲排场，摆阔气，浪费国家财产去装门面，说什么这才“象个样子”。,5.0,1
因为如此深刻的乡愁，怀着如此质朴的初心，他才写出了这本书。,4.0,1
只有真正走向大众，找到干预社会生活的途径，哲学才会有生命力。,4.0,2
革命芭蕾舞剧虽然才仅仅迈开了第一步，但它所具有的无产阶级充沛的生命力，它为无产阶级政治服务的深厚的艺术力量，是资产阶级芭蕾舞剧根本不能与之相比的。,3.0,1
焦裕禄同志调来兰考的时候，我才从县委调到城关区。,1.0,1
权威人士认为，下个世纪初，欧洲隧道才会开始赢利。,2.0,2
同是社会主义国家，国力相差悬殊，苏联东欧等一些社会主义国家，人均国民生产总值都在2000美元以上，他们能实行全免费教育，我们这个人均收入才300多美元的穷国就很难办到。,3.0,1
她毅然参加了革命队伍，这时她才二十岁。,3.0,1
当时部队迅速南进，没有来得及把这件事情的底细告诉朝鲜人民，直到去年春天，志愿军某部战士们到墓前进行隆重的祭奠时，当地人民才从一位战士李治黄的口中知道了这位不朽的朝鲜母亲生前的动人事迹。,2.0,1
在七月一日至六日的六天当中，我想尽办法才做了三个劳动日；其余时间干了些什么呢？,3.0,1
全场比赛两人打了5盘才分出胜负。,2.0,1
在发展农产品原料的同时，充分利用非农产品原料，特别是大力开辟化工原料的来源，才可以加快轻工业的发展，适应城乡人民日益增长的需要。,4.0,2
一个政党，只有成为高度制度化、组织化的现代政党，才可执政好、治理好一个国家。,4.0,2
软班长”变“硬手”这个公社堡大队的党支部书记叫王悦，才二十六岁。,3.0,1
直到今天我才了解到我经常来的这座城市竟然对中国历史如此重要，我甚至能够看到当年的历史场景，了解到毛泽东当年起草宪法的灵感来源。,2.0,2
谁知报名的人出乎预料的多，只好再加租两个厅，才使出席宴会的3000嘉宾坐了下来。,4.0,1
在描述了老板娘颇具典型性的境遇和心态后，作者情不自禁地抒写了自己的感受，认为“金钱的淫威居然能迫使有才华的艺术家从事跟艺术绝缘的工作”，这具有哲理意味的咏叹无疑会引起读者的共鸣。,0.0,0
解放后进了工厂，才娶上妻有了家。,2.0,1
只有下定决心，做耐心的艰苦的调查研究工作，遇到一件事情，多方面打听打听，写出来的东西才会对头。,4.0,2
不管是早在上世纪七八十年代就到过中国的人，还是最近才与中国有生意往来的人，大家都非常愿意谈自己与中国的联系，中国的“朋友圈”正越来越大。,1.0,1
构建启动经济的支点直到1997年，和林格尔县的国内生产总值、财政收入、农民人均收入才分别为3.8亿元、1955万元和1300元。,3.0,1
他说，只有这样，“他才会同这个国家的新领导合作”。,4.0,2
一九五四年春耕时，黄厚胜家没有口粮，靠贷款和预购定金，才勉强敷衍过去。,4.0,1
抓人者怕她死在监狱，才在5年半之后的1973年7月，把昏迷的她伴着氧气瓶押送回长沙。,4.0,1
据东北老百姓说：这行买卖是从蒋军到后才兴隆起来的。,2.0,1
结果是助长了崔满堂等人的贪污行为，一直发展到贪污盗窃一千二百多元时，才不得不作处理。,2.0,1
清水认为，《清明上河图》开始的画面，现在看来有些“突兀”，似还应有一段田野风光才够完整。,4.0,2
有了“赏月”，才会有“月饼”之食。,4.0,2
戈内拉曾经争取副总理的职位而没有成功，后来决定由他兼负“协调宪法”的责任，才勉强把班子搭起来。,2.0,1
然而，贬官潮州，上任才一个月，便写开了荒诞不经的《祭鳄鱼文》。,3.0,1
经工作人员耐心解释，才勉强服从安排。,4.0,1
经过这次整风，展开批评和自我批评，分析了两种干部各有所长，也各有所短，应该互相学习，取长补短，才使大家开始有了比较正确的认识。,4.0,1
只有本民族音乐艺术大发展，为本国人民所喜爱，并为世界音乐的总宝库增加了财富的人，才值得人们尊敬，这难道有什么疑问吗？,4.0,2
这个地主一年收二三百石粮，分到七个长工名下的才只有三二十石。,3.0,1
”可能是刺骨的水冻的，也可能是触动了他什么，二狗子激灵灵打了一个寒颤，在河心愣怔住了片刻，才又向对岸趟去……至此，老汉好象完成了任务——收兵回营。,2.0,1
客人见小乔这样诚恳，这才吐露了真情。,4.0,2
每个人都应当严肃认真地对待，这样去做，我们反对特殊化才不是空谈。,4.0,2
谁知，才半个月，我就收到张向瑾他们寄来的一张800元的汇款单，并同时收到一封鼓励我战胜病魔的信。,3.0,1
日本兵走远了，我们才出了一口气。,2.0,1
弄清了这些情况，才可能更深一步地发现问题，使劳动组织，得到更好的改善，进一步提高劳动生产率。,4.0,2
我当农科院副院长才两年，缺少行政工作经验，缺乏组织能力。,3.0,1
后来，又经过十天的查问，才发现这个通知稿已经丢失了。,2.0,2
今年应在土壤湿度可以进行操作时及早中耕，这样才可以加速土壤水份的散发，增加土壤里的空气。,4.0,2
但是，经营者小心翼翼，他们明知你可信任，他才会同你交易。,4.0,2
那时，耿凯才5岁，弟弟3岁，妹妹刚满月。,3.0,1
覃岭说，说实在的，我们6个同学正是在日常生活中看清了吾尔开希不是个好学生，才在学潮和动乱中下定决心：凡是吾尔开希干的事，我们就坚决抵制。,4.0,2
新港远离天津市区，是在四年多以前才在渤海海湾上建成的一个大港口。,2.0,1
第一通用机械厂的同志通过市场调查了解到，新洗衣机必须具备脱水功能，价格不要超过270元，销路才好。,4.0,2
瘦臂”纪行“瘦臂”纪行本报记者　郭伟成晶莹世界从卢卡斯角北行，赶了一天路，夜幕降临时才到格雷罗—内格罗。,2.0,1
这场冰雹从四点半开始，下了一个多钟头才停止。,2.0,1
当反对派首领们向全世界丢了脸的时候，这样做，也只有这样做，才可以摧毁反对派。,4.0,2
比赛开始才两分钟，韩国队就试图掀起进攻浪潮，不料自己的后防频频出错。,3.0,1
要把它们从房价中剥离出去，就需要同时开新口子，给城市建设资金提供有序、合理、稳定的来源，否则反过来会限制住宅建设，这是一个破旧立新的过程，而现在才刚刚破了题。,1.0,1
这样可以及时了解情况，及时解决问题，不要等到问题成堆，矛盾尖锐了，才去被动地解决。,4.0,1
最后，山东名将张玉萍杀出，犹如蛟龙出海，夺得棍术比赛的最高分——九点二三分，一场扣人心弦的高水平较量才告结束。,2.0,1
南共联盟主席团委员多兰茨曾指出：“这种形势不是今天，也不是6个月以前才出现的。,1.0,1
可是，教师在评分时，却认为这项设计运用现场资料和数据比较多，理论分析不够，质量不高；只是考虑到这个学生平日学习努力，才勉强给了四分。,4.0,1
但是只有到了现代无产阶级登上历史舞台以后，这种历史的辩证法，才从盲目的支配力量变成为先进阶级自觉地运用来改造世界的强大武器。,4.0,2
今天晚上，孩子们肯定要白白地守候到无可奈何后才会睡去。,2.0,2
去年就有两百亩一直到“寒露”后才下种，下种迟减了产。,2.0,1
直到1905年法国才占领全部阿尔及利亚。,2.0,1
种粮有利可图，粮农才可能有高涨的种粮积极性。,4.0,2
正是由于自然科学基金的稳定资助，他才可以安心地进行研究。,4.0,2
最后，港英当局全部接受华人提出的要求后，罢市才告结束。,2.0,2
蒋健说：“赞助商多了以后，服务是个很大的问题，因为赞助商信任才会跟你签约，体育赞助是先签约后兑现，服务是非常关键的。,4.0,2
里根在一篇讲话中说，美国政府是在研究了赞成和反对继续进行征兵登记的两种意见以及同兵员有关的其他问题之后，才作出这一决定的。,4.0,1
只有这样，我们的社会主义事业才会蒸蒸日上，道路越来越宽广。,4.0,2
直至库房东塌西倒时，才动员干部及群众，连夜倒仓抢救，但已坏粮十一万余斤。,2.0,1
美国警察曾破获一个儿童贩毒机关，吸毒犯全部是男女儿童，最大的才不过十七岁。,3.0,1
古巴队经过5局苦战，才以3∶2获胜。,2.0,1
从科尔科瓦多山和面包山的美景，到巴哈、德奥多鲁赛区全新的现代化场馆，以及标志性的马拉卡纳体育场和科帕卡巴纳海滩，我想不出更为壮观的背景来让世界顶级运动员在全球观众面前展示才华了。,0.0,0
这样才不易积水，减少病害，让甘薯长的快。,4.0,1
布雷门特指出，解决柬埔寨的冲突，才会使东南亚地区实现和平与稳定，而这种和平与稳定正是东南亚为充分发挥其社会和经济潜力所需要的。,4.0,2
坚持这“三严”，我们才会达致“随心所欲，不逾矩”的境界。,4.0,2
才几年的功夫，青山里就变了样，生活就变了样，人也变了样啊！,3.0,0
这个大队有三对老夫妻，他们分别有八九个儿女，大的已经成家了，小的才十来岁，结果是自己到五六十岁了，还没“解放”出来，吃的不如人家，穿的不如人家。,3.0,1
只有在陪伴的基础上，父母的嘉言懿行才会起到榜样的作用。,4.0,2
在一处空白上整齐地写着这样几行小字：“做为一个共产党员，他最大的快乐，他的骄傲和安慰，就在他看见了人类因为他们的存在，才在加速地接近着共产主义！,4.0,2
